#TLD: top
#Script/Language Identifier: ja
#Script/Language Description: Japanese
#Version: 1.0
#Effective Date: 2015-11-12
U+4E95	# CJK Ideograph
U+4E98	# CJK Ideograph
U+4E99	# CJK Ideograph
U+4E9B	# CJK Ideograph
U+4E9C	# CJK Ideograph
U+4E9E	# CJK Ideograph
U+4E9F	# CJK Ideograph
U+4EA0	# CJK Ideograph
U+4EA1	# CJK Ideograph
U+4EA2	# CJK Ideograph
U+4EA4	# CJK Ideograph
U+4EA5	# CJK Ideograph
U+4EA6	# CJK Ideograph
U+4EA8	# CJK Ideograph
U+4EAB	# CJK Ideograph
U+4EAC	# CJK Ideograph
U+4EAD	# CJK Ideograph
U+4EAE	# CJK Ideograph
U+4EB0	# CJK Ideograph
U+4EB3	# CJK Ideograph
U+4EB6	# CJK Ideograph
U+4EBA	# CJK Ideograph
U+4EC0	# CJK Ideograph
U+4EC1	# CJK Ideograph
U+4EC2	# CJK Ideograph
U+4EC4	# CJK Ideograph
U+4EC6	# CJK Ideograph
U+4EC7	# CJK Ideograph
U+4ECA	# CJK Ideograph
U+4ECB	# CJK Ideograph
U+4ECD	# CJK Ideograph
U+4ECE	# CJK Ideograph
U+4ECF	# CJK Ideograph
U+4ED4	# CJK Ideograph
U+4ED5	# CJK Ideograph
U+4ED6	# CJK Ideograph
U+4ED7	# CJK Ideograph
U+4ED8	# CJK Ideograph
U+4ED9	# CJK Ideograph
U+4EDD	# CJK Ideograph
U+4EDE	# CJK Ideograph
U+4EDF	# CJK Ideograph
U+4EE3	# CJK Ideograph
U+4EE4	# CJK Ideograph
U+4EE5	# CJK Ideograph
U+4EED	# CJK Ideograph
U+4EEE	# CJK Ideograph
U+4EF0	# CJK Ideograph
U+4EF2	# CJK Ideograph
U+4EF6	# CJK Ideograph
U+4EF7	# CJK Ideograph
U+4EFB	# CJK Ideograph
U+4F01	# CJK Ideograph
U+4F09	# CJK Ideograph
U+4F0A	# CJK Ideograph
U+4F0D	# CJK Ideograph
U+4F0E	# CJK Ideograph
U+4F0F	# CJK Ideograph
U+4F10	# CJK Ideograph
U+4F11	# CJK Ideograph
U+4F1A	# CJK Ideograph
U+4F1C	# CJK Ideograph
U+4F1D	# CJK Ideograph
U+4F2F	# CJK Ideograph
U+4F30	# CJK Ideograph
U+4F34	# CJK Ideograph
U+4F36	# CJK Ideograph
U+4F38	# CJK Ideograph
U+4F3A	# CJK Ideograph
U+4F3C	# CJK Ideograph
U+4F3D	# CJK Ideograph
U+4F43	# CJK Ideograph
U+4F46	# CJK Ideograph
U+4F47	# CJK Ideograph
U+4F4D	# CJK Ideograph
U+4F4E	# CJK Ideograph
U+4F4F	# CJK Ideograph
U+4F50	# CJK Ideograph
U+4F51	# CJK Ideograph
U+4F53	# CJK Ideograph
U+4F55	# CJK Ideograph
U+4F57	# CJK Ideograph
U+4F59	# CJK Ideograph
U+4F5A	# CJK Ideograph
U+4F5B	# CJK Ideograph
U+4F5C	# CJK Ideograph
U+4F5D	# CJK Ideograph
U+4F5E	# CJK Ideograph
U+4F69	# CJK Ideograph
U+4F6F	# CJK Ideograph
U+4F70	# CJK Ideograph
U+4F73	# CJK Ideograph
U+4F75	# CJK Ideograph
U+4F76	# CJK Ideograph
U+4F7B	# CJK Ideograph
U+4F7C	# CJK Ideograph
U+4F7F	# CJK Ideograph
U+4F83	# CJK Ideograph
U+4F86	# CJK Ideograph
U+4F88	# CJK Ideograph
U+4F8B	# CJK Ideograph
U+4F8D	# CJK Ideograph
U+4F8F	# CJK Ideograph
U+4F91	# CJK Ideograph
U+4F96	# CJK Ideograph
U+4F98	# CJK Ideograph
U+4F9B	# CJK Ideograph
U+4F9D	# CJK Ideograph
U+4FA0	# CJK Ideograph
U+4FA1	# CJK Ideograph
U+4FAB	# CJK Ideograph
U+4FAD	# CJK Ideograph
U+4FAE	# CJK Ideograph
U+4FAF	# CJK Ideograph
U+4FB5	# CJK Ideograph
U+4FB6	# CJK Ideograph
U+4FBF	# CJK Ideograph
U+4FC2	# CJK Ideograph
U+4FC3	# CJK Ideograph
U+4FC4	# CJK Ideograph
U+4FCA	# CJK Ideograph
U+4FCE	# CJK Ideograph
U+4FD0	# CJK Ideograph
U+4FD1	# CJK Ideograph
U+4FD4	# CJK Ideograph
U+4FD7	# CJK Ideograph
U+4FD8	# CJK Ideograph
U+4FDA	# CJK Ideograph
U+4FDB	# CJK Ideograph
U+4FDD	# CJK Ideograph
U+4FDF	# CJK Ideograph
U+4FE1	# CJK Ideograph
U+4FE3	# CJK Ideograph
U+4FE4	# CJK Ideograph
U+4FE5	# CJK Ideograph
U+4FEE	# CJK Ideograph
U+4FEF	# CJK Ideograph
U+4FF3	# CJK Ideograph
U+4FF5	# CJK Ideograph
U+4FF6	# CJK Ideograph
U+4FF8	# CJK Ideograph
U+4FFA	# CJK Ideograph
U+4FFE	# CJK Ideograph
U+5005	# CJK Ideograph
U+5006	# CJK Ideograph
U+5009	# CJK Ideograph
U+500B	# CJK Ideograph
U+500D	# CJK Ideograph
U+500F	# CJK Ideograph
U+5011	# CJK Ideograph
U+5012	# CJK Ideograph
U+5014	# CJK Ideograph
U+5016	# CJK Ideograph
U+5019	# CJK Ideograph
U+501A	# CJK Ideograph
U+501F	# CJK Ideograph
U+5021	# CJK Ideograph
U+5023	# CJK Ideograph
